OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE
"1,897",223,"36,011",17.41,1.35,0.05,"2,525",1,1.85,"1,800","24,850.00"
"72,922","51,373","3,06,804",17.26,0.95,-0.2,225,0.95,1,"48,200","24,900.00"
"57,422","54,285","2,63,513",17.59,0.85,-0.25,"2,24,750",0.8,0.85,"17,325","24,950.00"
"3,21,142","30,738","10,65,564",18.45,1,-0.15,100,1,1.1,"17,425","25,000.00"
"5,158","3,544","47,485",19.09,1.05,-0.05,600,0.85,1.9,"1,800","25,050.00"
"22,514","17,671","1,70,690",19.06,0.8,-0.35,"1,225",0.8,0.85,25,"25,100.00"
"15,387","10,544","57,815",19.46,0.75,-0.35,950,0.75,0.9,900,"25,150.00"
"8,656","6,287","87,939",20.82,1.1,0.1,275,1.05,1.15,"21,400","25,200.00"
"7,898","7,433","39,028",20.35,0.7,-0.35,"1,775",0.7,1.3,50,"25,250.00"
"33,838","28,505","3,71,823",21.77,1.05,-0.05,"4,975",1.05,1.1,"7,000","25,300.00"
"90,897","11,770","1,52,944",28.82,1,0.1,"1,650",1,1.1,"8,550","26,000.00"
"1,54,257","19,374","2,11,825",37.63,0.8,-0.05,"2,475",0.75,0.8,"1,350","27,000.00"
